ROI,PN,Brush (2 of 3),VF0.16 (any),VF2.0 (any),AirPuff (2of3),Cold (any),Heat (Any),Cut. Input
438.344,0,0,0,1,,1,1,1
438.345,0,0,0,0,,0,1,1
438.346,0,0,0,0,,0,0,1
438.347,0,0,0,0,,0,0,1
438.348,0,0,0,0,,0,0,1
438.349,0,0,0,0,,0,0,1
438.350,0,0,0,0,,0,0,1
438.351,0,0,0,0,,0,0,1
438.352,0,0,0,0,,0,1,1
438.353,0,1,0,0,,0,0,1
438.354,0,0,0,0,,0,0,1
438.355,0,0,0,0,,0,0,1
438.356,0,1,0,0,,1,0,1
438.357,0,0,0,0,,0,0,1
438.358,0,0,0,1,,1,0,1
438.359,0,0,0,0,,0,0,1
438.360,0,0,0,0,,0,0,1
438.361,0,0,0,0,,0,0,1
438.362,0,0,0,0,,0,0,1
438.363,0,0,0,0,,0,0,1
438.364,0,0,0,0,,0,1,1
438.365,0,0,0,0,,0,0,1
438.366,0,0,0,0,,0,1,1
438.367,0,0,0,0,,0,0,1
438.368,0,0,0,0,,0,0,1
438.369,0,0,0,0,,0,0,1
438.370,0,0,0,1,,0,0,1
438.371,0,0,0,0,,1,0,1
438.372,0,0,1,0,,0,1,1
438.373,0,0,1,0,,0,0,1
438.374,0,0,0,0,,0,0,1
438.375,0,0,0,0,,0,0,1
438.376,0,0,0,0,,0,0,0
438.377,0,0,0,0,,0,1,1
438.378,0,0,0,0,,0,0,1
438.379,0,0,1,0,,0,1,1
438.380,0,0,0,0,,0,0,1
438.381,0,0,0,0,,0,1,1
438.382,0,0,0,1,,0,0,1
438.383,0,0,1,1,,1,1,1
438.384,0,0,0,0,,0,0,1
438.385,0,0,0,0,,0,0,1
438.386,0,1,1,1,,1,0,1
438.387,0,0,0,0,,0,0,1
438.388,0,0,0,0,,0,0,1
438.389,0,0,1,1,,0,0,1
438.390,0,0,0,0,,0,0,1
438.391,0,0,0,0,,0,0,1
438.392,0,0,1,1,,0,1,1
438.393,0,0,0,0,,1,0,1
438.394,0,0,0,0,,0,0,1
438.395,0,0,0,0,,0,0,1
438.396,0,0,1,1,,0,0,1
438.397,0,0,0,1,,0,0,1
438.398,0,0,0,1,,0,0,1
438.399,0,0,0,1,,0,1,1
438.400,0,0,0,1,,0,0,1
438.401,0,0,1,0,,0,1,1
438.402,0,0,1,0,,0,1,1
438.403,0,0,0,0,,0,1,1
438.404,0,0,0,0,,0,0,1
438.405,0,0,0,0,,0,0,1
438.406,0,0,1,1,,0,0,1
438.407,0,0,0,0,,0,0,1
438.408,0,0,1,1,,0,0,1
438.409,0,0,0,0,,0,0,1
438.410,0,0,0,0,,0,0,1
438.411,0,0,0,0,,0,0,1
438.412,0,1,0,1,,0,0,1
438.413,0,0,0,1,,0,0,1
438.414,0,0,0,0,,1,0,1
438.415,0,0,0,1,,0,1,1
438.416,0,0,0,0,,0,1,1
438.417,0,1,1,1,,1,1,1
438.418,0,0,0,0,,0,0,1
438.419,0,0,0,0,,0,0,1
438.420,0,1,1,1,,0,0,1
438.421,0,0,0,0,,0,0,1
438.422,0,0,0,0,,0,0,1
438.423,0,1,1,1,,1,1,1
438.424,0,0,1,1,,1,0,1
438.425,0,0,1,1,,1,1,1
438.426,0,0,1,1,,1,0,1
438.427,0,0,0,0,,0,0,1
438.428,0,1,0,1,,0,0,1
438.429,0,0,0,0,,0,0,1
438.430,0,1,1,1,,0,0,1
438.431,0,1,1,1,,1,1,1
438.432,0,0,0,0,,1,0,1
438.433,0,0,1,1,,1,1,1
438.434,0,0,0,1,,1,1,1
438.435,0,0,0,1,,1,1,1
438.436,0,0,0,0,,0,0,1
438.437,0,1,0,0,,0,0,1
438.438,0,1,1,1,,0,0,1
438.439,0,0,0,1,,0,1,1
438.440,0,0,0,0,,0,1,1
438.441,0,0,0,1,,1,0,1
438.442,0,0,0,1,,1,1,1
438.443,0,0,0,1,,1,1,1
438.444,0,0,0,0,,1,1,1
438.445,0,0,0,1,,0,0,1
438.446,0,0,1,1,,0,1,1
438.447,0,0,0,1,,1,1,1
438.448,0,0,0,0,,0,1,1
438.449,0,0,0,1,,0,1,1
438.450,0,0,0,1,,0,0,1
438.451,0,0,0,1,,0,1,1
438.452,0,0,1,1,,0,1,1
438.453,0,0,0,1,,1,1,1
438.454,0,1,1,1,,1,1,1
438.455,0,0,1,1,,0,1,1
438.456,0,0,0,0,,0,0,1
438.457,0,1,0,0,,0,0,1
438.458,0,1,1,1,,0,1,1
438.459,0,0,0,0,,0,0,1
438.460,0,0,1,1,,1,1,1
438.461,0,0,1,1,,1,0,1
438.462,0,0,1,1,,0,0,1
438.463,0,0,0,0,,0,0,1
438.464,0,0,0,1,,0,0,1
438.465,0,0,0,0,,1,0,1
438.466,0,0,0,0,,0,1,1
438.467,0,1,1,0,,0,1,1
438.468,0,1,0,1,,0,1,1
438.469,0,0,0,0,,0,0,1
438.470,0,0,0,0,,0,0,1
438.471,0,1,1,1,,1,1,1
438.472,0,0,0,0,,0,0,1
438.473,0,0,0,0,,0,0,1
438.474,0,0,0,1,,0,0,1
438.475,0,0,0,0,,0,0,1
438.476,0,0,0,0,,0,0,1
438.477,0,0,0,0,,0,0,1
438.478,0,0,0,0,,0,0,1
438.479,0,0,0,0,,0,0,1
438.480,0,0,0,0,,0,0,1
438.481,0,0,0,0,,0,0,1
438.482,0,0,0,0,,0,1,1
438.483,0,0,1,1,,0,1,1
438.484,0,1,1,1,,0,1,1
438.485,0,0,0,0,,0,1,1
438.486,0,0,1,1,,0,1,1
438.487,0,0,0,0,,0,1,1
438.488,0,0,0,1,,0,1,1
438.489,0,0,0,0,,0,0,1
438.490,0,0,0,0,,0,0,1
438.491,0,0,0,1,,0,0,1
438.492,0,0,0,0,,0,0,1
438.493,0,0,0,0,,0,0,1
438.494,0,0,0,0,,0,0,1
438.495,0,0,0,0,,0,0,1
438.496,0,0,1,1,,0,0,1
438.497,0,0,1,1,,0,0,1
438.498,0,0,1,1,,0,0,1
438.499,0,1,1,1,,0,0,1
438.500,0,0,0,0,,0,0,1
438.501,0,0,0,0,,1,1,1
438.502,0,0,0,0,,0,0,1
438.503,0,0,0,0,,0,0,1
438.504,0,0,0,0,,0,0,1
438.505,0,0,0,0,,0,1,1
438.506,0,0,0,0,,1,1,1
438.507,0,0,0,0,,0,0,1
438.508,0,0,0,1,,1,1,1
438.509,0,0,0,1,,0,0,1
438.510,0,0,0,0,,0,0,1
438.511,0,0,0,0,,0,1,1
438.512,0,1,1,1,,1,1,1
438.513,0,0,1,1,,1,1,1
438.514,0,1,1,1,,1,1,1
438.515,0,0,0,0,,0,0,1
444.001,1,1,1,1,1,1,1,1
444.002,,1,1,1,0,1,1,1
444.003,,1,1,1,0,0,1,1
444.004,,1,0,1,0,0,0,1
444.005,,1,1,1,0,1,1,1
444.006,,1,1,1,1,1,1,1
444.007,,1,1,1,0,1,1,1
444.008,,1,0,1,0,0,0,1
444.009,,1,1,1,1,1,1,1
444.010,,1,1,1,0,1,1,1
444.011,,1,1,1,0,1,1,1
444.012,,1,1,1,0,1,1,1
444.013,,1,1,1,0,1,1,1
444.014,1,1,1,1,0,1,1,1
444.015,,1,1,1,0,1,1,1
444.016,1,0,1,1,0,0,1,1
444.017,,1,1,1,0,1,1,1
444.019,,1,0,1,0,1,1,1
444.020,,1,1,1,0,0,1,1
444.021,,1,1,1,1,1,0,1
444.022,,1,1,1,1,1,1,1
444.023,,1,1,1,0,1,1,1
444.024,,0,1,1,0,1,1,1
444.025,,1,1,1,0,0,0,1
444.026,,1,1,1,0,1,1,1
444.027,,1,1,1,0,0,1,1
444.028,,0,0,0,0,0,0,1
444.029,,1,0,1,0,1,1,1
444.030,,1,1,1,1,1,1,1
